AC_TYPEID,SSD_NAME,SHORT_NAME
7,AERO COMMANDER 200,COMMANDR
8,AERO MACCHI AL-60,AL-60
9,AERONCA 7-AC,AERONCA7
10,BEECH 35/36,BONANZA
20,BELLANCA CH-300,CH-300
24,BEECH B-23,MUSKTEER
26,GIPPS AERO GA8 AIR,AIRVAN
29,CESSNA 150/152,CE-150/2
30,CESSNA 180,CE-180
31,CESSNA 180A/B,CE-180
32,CESSNA 180C/D/E/F,CE-180C
33,CESSNA 185A/B/C,SKYWAGON
34,HELIO H250/295/395,COURIER
35,CESSNA 206/207/209,CE-206/7
36,CESSNA 172 SKYHAWK,SKYHAWK
37,CESSNA 195,CE-195
38,CESSNA CARDINAL,CARDINAL
39,CESSNA 182 SKYLANE,SKYLANE
40,DEHAVILLAND DHC2,BEAVER
41,CESSNA 205,CE-205
42,DEHAVILLAND DHC3,OTTER
44,LAKE LA-4,LA-4
50,HOWARD DGA-15P,DGA-15P
51,MOONEY M-21,M-21
52,MOONEY M-20C/E/G,M-20C/E
65,NOORDUYN UC-64AS,UC-64AS
70,PILATUS PORTER PC6,PC6
71,PILATUS PC6/350,PC6/350
79,PIPER PA-32,PA-32
80,PIPER PA-18,SUPERCUB
81,PIPER PA-14,FAMCRUIS
82,PIPER PA-22,TRIPACER
83,PIPER PA-24,COMANCHE
84,PIPER PA-28,PA-28
85,STINSON SR-9,SR-9
86,PIPER PA-12,PA-12
87,STINSON V-77,V-77
88,STINSON SR-10E,BUSHMAN
91,FLT/AMPHIB TURBINE,FLT/AMPH
92,PISTON-LT 450 HP,FLT/AMPH
93,PISTON-450+ HP,FLT/AMPH
94,LAND-TURBINE,LAND
95,PISTON-LT 450 HP,LAND
96,PISTON-450+ HP,LAND
97,STIN.FW 300-450 HP,STNSN FW
98,STIN.FW LT 300 HP,STNSN FW
103,AERO COMANDR 500/6,COMMANDR
104,AERO COMANDR 680FL,COMMANDR
105,BEECH C-50,TWBONANZ
110,BEECH 18,BE-18C
111,BEECH KINGAIR 90,KING AIR
113,BEECH B-95,TRAVLAIR
115,BEECH AT-11,AT-11
117,BEECH BARON B-55,BARON
120,CESSNA T-50,BOBCAT
121,CESSNA C-421,CE-C421
122,CESSNA C-310,CE-C310
123,CESSNA C-340/335,CE-340
125,CESSNA C-402/402A,CE-402
128,CESSNA 404,CE-404
130,C-28 5ACF PBY,PBY
131,BRITT-NORMAN BN2/A,ISLANDER
132,C-28 5ACF-PBY EMQ,PBY-EMQ
133,BEECH QUEEN AIR,QUEENAIR
140,CONVAIR CV-240,CV-240
143,CONVAIR CV-340/440,CV-340/4
148,CESSNA C-337,SKYMASTR
149,CESSNA C-401,CE-C401
150,CURTISS C46 SERIES,COMMANDO
152,CESSNA C-411,CE-411
153,DHC4 CARIBOU,CARIBOU
158,DOUGLAS DC-2,DC-2
159,HAMILTON B-18S,B-18S
160,DOUGLAS DC-3,DC-3
161,DORNIER DO-28,DO-28
166,CESSNA C-336,CE-336
167,FAIRCHILD C-82A,C-82A
170,GRUMMAN G-21A,GOOSE
171,GRUMMAN SA-16A-GR,ALBATRSS
172,GRUMMAN G-44/44A,WIDGEON
173,GRUMMAN G-73,MALLARD
174,DOVE DH-104,DOVE
175,LOCKHEED L-12A,L-12A
180,MARTIN 202/202A,M-202
185,MARTIN 404,M-404
190,PIPER PA-23,AZTEC
193,PIPER T-1020,PA-T1020
194,PIPER PA-31/T-1020,NAVAJO
195,PIPER PA-34/39,TWNCOMAN
200,BOEING 377,B-377
201,BN2A TRISLANDER,TRISLNDR
205,DH-114 HERON,HERON
210,DOUGLAS DC-4,DC-4
216,DOUGLAS DC-6,DC-6
218,DOUGLAS DC-6A,DC-6A
220,DOUGLAS DC-6B,DC-6B
225,DOUGLAS DC-7A/B,DC-7A/B
228,DOUGLAS DC-7C,DC-7C
240,LOCKHEED L-049,L-049
242,LOCKHEED L-649,L-649
244,LOCKHEED L-749/A,L-749/A
247,LOCKHEED L-1049,L-1049
248,LOCKHEED 1049C/D/E,L-1049C
252,LOCKHEED L-1049G/H,L-1049G
258,LOCKHEED L-1649A,L-1649A
280,SIKORSKY VS-44A,VS-44A
303,SUD ALOUETTE,ALOUETTE
311,BELL B-47D,B-47D
312,BELL B-47G,B-47G
313,BELL B-47G2,B-47G2
314,BELL B-47J2,B-47J2
315,BELL B-206A,B-206A
317,HU-1H ,HUEY
320,BOEING BV-107,BV-107
321,BOEING BV-44,BV-44
322,BRANTLEY B-2,BRNTLY 2
323,FAIRCHILD FH-1100,FH-1100
325,AGUSTA A-119 KOALA,A-119
330,BOELKOW BO-105C,BO-105C
339,AIRBUS A330-900,A339
340,EUROCOPTER AS350 ,AS350 B2
345,BELL 212 TWIN,BELL 212
350,HUGHES 300,HUGHS300
355,HUGHES-500/530,HUGHS500
359,AIRBUS A350-900,A359
360,ROBINSON R44,R44
362,BHT 206 L3 ,BHT206L3
364,BHT 206 L4,BHT206L4
366,BELL BHT 407,BHT407
368,BELL BHT 412,BHT412
370,EURO BO-105,BO105
380,SIKORSKY S-51,S-51
381,SIKORSKY S-55,S-55
385,SIKORSKY S-58A/B/C,S-58
386,SIKORSKY S-61N,S-61N
387,SIKORSKY S-61,S-61
388,SIKORSKY S-61L,S-61L
389,SIKORSKY S-62/A,S-62/A
390,SIKORSKY S-76,S-76
393,AGUSTAWESTLAND 139,AW139
396,WESTLAND SR-N5,SR-N5
401,BEECH 1300,BE-1300
402,BEECH 18,BE-18
403,BEECH 99,BE-99
404,BEECH C99,BE-C99
405,BEECH 1900 A/B/C/D,BE-1900
406,BEECH 200 KINGAIR,KINGAIR
407,BAE-748,BAE-748
408,BAE-ATP,BAE-ATP
409,BEECH B-100,BE-B100
410,ROCKWELL 680-W/690,TCOMMNDR
411,BEECHCRAFT 65-A90,BE-65
412,CASA 212,C212
413,CASA 235,C 235
415,CESSNA C208B,CE-208B
416,CESSNA 208,CARAVAN
417,CESSNA 406,CARAVNII
418,CESSNA C-441,CE-C441
420,CONVAIR CV-540,CV-540
422,QUEST KODIAK 100,KODIAK 
425,PIAGGIO P180 AVANT,AVANTI
430,CONVAIR CV-580,CV-580
431,SOCATA TBM850,TBM850
432,SAAB 2000,SA2000
433,SOCATA TBM-700,TBM-700
434,KING AIR A100,A100
435,CONVAIR CV-600,CV-600
437,BEECH BARON B-58,BARON
440,CONVAIR CV-640,CV-640
441,ATR-42,ATR-42
442,ATR-72,ATR-72
443,AIR TRACTOR AT-802,AT-802
444,ANTONOV 24/26/32,AN-24/6
445,CONVAIR CV-660,CV-660
448,DORNIER 228,DO-228
449,DORNIER 328,DO-328
450,F-27,F-27
452,FOKKER 50,FOKKER50
454,FH-227,FH-227
455,FAIRCHILD METRO 23,METRO 23
456,SAAB-FAIRCHD 340/B,SF-340/B
457,BEECH KING AIR ,KINGAIR
458,BEECH B-350,BE-KING
459,SAAB-FRCHILD 340/A,SF-340/A
460,GRUMMAN G-21G,GOOSE
461,EMB-120 BRASILIA,EMB-120
462,SWEARINGEN MERLIN,MERLIN
463,MITSUBISHI MU-2/B,MU-2/B
464,EMBRAER BANDEIRNTE,EMB-110
465,NIHON YS-11,YS-11
466,SWEARINGEN METRO 2,METRO2
467,SWEARINGEN METRO 3,METRO3
468,H-P JETSTREAM,JETSTRM
469,BAE JETSTREAM 31,JETSTM31
470,GULFSTREAM I,G-159
471,JETSTREAM 41,JETST41
473,GULFSTREAM I COMM,G-159COM
474,HAWKER SIDELEY 748,HAWKER S
475,NORD 262,N-262
476,PIPER PA-30/31T,PA-31T
477,MOHAWK 298,MO-298
478,PIPER T-1040,PA-T1040
479,PILATUS PC-12,PC-12
480,PILATUS PORTR PC6A,PC-6A
481,PILATUS PORTR PC6B,PC-6B
482,DHC8-Q400  DASH-8,DASH8-Q4
483,DHC8-100 DASH 8,DASH8-1
484,DHC8-300 DASH 8,DHC8-300
485,DEHAVILLAND DHC-6,DHC-6
486,SHORT HARLAND SC-7,SKYVAN
487,SHORTS 330,SHORT330
488,CARSTEDT CJ-600A,CJ-600A
489,SHORTS 360,SHORT360
490,VOLPAR TURBO 18,VOLPAR18
491,DEHAVILLAND DHC8-2,DHC8-200
495,HAWKER 4000,HAWK4000
507,ANTONOV 12,AN-12
508,ANTONOV AN-22-F,AN-22F
510,AW-650,AW-650
515,CHALLENGER 350,BD-350
520,CANADAIR CL-44D,CL-44D
541,ILYUSHIN 18,IL-18
550,LOCKHEED L-188A/C,ELECTRA
552,LOCKHEED L-382B,L-382B
553,LOCKHEED L100-10,HERCULES
555,LOCKHEED L100-20,HERCULES
556,LOCKHEED L100-30,HERCULES
560,SHORTS-BELFAST-SH5,SH5
570,DEHAVILLAND DASH-7,DASH-7
575,BOMBARDIER LEARJET,LEAR75
580,VV-700,VV-700
584,VV-800,VV-800
601,FOKKER F28-1000,F28-1000
602,F28-4000/6000,F28-4000
603,FOKKER 100,FOKKR100
604,FOKKER 70,FOKKER70
605,BAC-111-200,BAC-111
606,BEECHCRAFT PREMIER,PREMIER 
607,ANTONOV AN-72/74,AN-72/74
608,BOEING 717-200,B717-2
609,CHALLENGER 300,BD-300
610,BAC-111-400,BAC-111
611,AERO COMMNDER 1121,COMMANDR
612,BOEING 737-700/LR,B737-7
613,AEROSPATL CORVETTE,CORVETTE
614,BOEING 737-800,B737-8
615,BOEING 737-5/600LR,B737-5LR
616,BOEING 737-500,B737-5
617,BOEING 737-400,B737-4
618,BOEING 737-300LR,B737-3LR
619,BOEING 737-300,B737-3
620,BOEING 737-100/200,B737-1/2
621,BOEING 737-200C,B737-2C
622,BOEING 757-200,B757-2
623,BOEING 757-300,B757-3
624,BOEING 767-400/ER,B767-4
625,BOEING 767-200/ER,B767-2/R
626,BOEING 767-300/ER,B767-3/R
627,BOEING 777-200,B777-2
628,CANADAIR RJ-100/ER,RJ100/ER
629,RJ-200ER/RJ-440,CRJ-2/4
630,DOUGLAS DC-9-10,DC-9-10
631,CANADAIR RJ-700,RJ-700
632,DORNIER 328 JET,DO-328 J
633,BOEING 737-600,B737-6
634,BOEING 737-900,B737-9
635,DOUGLAS DC-9-15F,DC-9-15F
636,CESSNA CITATION ,CITATNII
637,BOEING 777-300/ER,B777-3
638,CANADAIR CRJ 900,CRJ-900
639,CITATIONJET/CJ,CITATNJ
640,DOUGLAS DC-9-30,DC-9-30
641,GULFSTREAM G-IV,G-III/IV
642,BEECH HAWKER 400XP,HAWKER 
643,WESTWIND II,WESTWIND
644,A-318,A318
645,DOUGLAS DC-9-40,DC-9-40
646,CSSNA CITATIONIII,CITATNX
647,CSSNA CITATION X,CE-750X
648,GULFSTREAM G200,G200
649,TUPOLEV TU-204,TU-204
650,DOUGLAS DC-9-50,DC-9-50
651,GULFSTEAM G150,G150
652,CANADAIR CL-600,CL-600
653,CESSNA CE-680 ,CE-680
654,MD-87,MD-87
655,MD-80/1/2/3/8,MD-80
656,MD-90,MD-90
657,BOMBARDIER CRJ 705,CRJ-705
658,BOMBARDIER BD-700,BD-700
659,LEARJET 60,LEAR-60
660,LEAR-23,LEAR-23
661,LEAR-24,LEAR-24
662,LEAR-25,LEAR-25
663,LEAR-35,LEAR-35
664,HFB-320 HANSA,HFB-320
665,BAE HS-125,HS-125
666,LEAR 55,LEAR-55
667,GULFSTREAM V/ G-V ,G-V
668,CHALLENGER 601,CL-601
669,CHALLENGER 604/605,CL-604/5
670,ROCKWELL SABRELINR,SABRELNR
671,GULFSTREAM G450,G450
673,EMBRAER-175,ERJ-175
674,EMBRAER-135,EMB-135
675,EMBRAER-145,EMB-145
676,EMBRAER-140,EMB-140
677,EMB-170/EMB-175,EMB-170
678,EMBRAER 190,EMB-190
679,GRUMMAN G-1159,G-III
680,CARAVELLE SE-210,CARAVLLE
681,DASSAULT FALCON,FALCON
682,DASSAULT 2000,DA-2000
683,BOEING B777-F,B777-F
684,BEECH HAWKER 800XP,800XP
685,CESSNA 510/560XL ,CE-560XL
686,BOMBARDIER LJET45,LEAR-45
687,AIRBUS A330-300,A330-3
688,GLOBAL 5000,GL5000
689,A300-600ST(BELUGA),BELUGA
690,A300B/C/F-100/200,A300-1/2
691,A300-600/R/CF/RCF,A300-6
692,A310-200C/F,A310-2CF
693,A310-300,A310-3
694,A320-100/200,A320-1/2
695,A300-B2,A300-B2
696,A330-200/220F,A330-2
697,A340,A340
698,A319,A319
699,A321,A321
710,BOEING 727-100,B727-100
711,BOEING 727-100C/QC,B727-1C
714,SUKHOI SUPERJ 100,SSJ-100
715,BOEING 727-200,B727-2
717,MRJ-70/STD/ER/LR,MRJ-70
718,MRJ-90/STD/SR/LR,MRJ-90
719,A319-200N,A319NEO
720,BOMBARDIER CS100,CS100
721,A321-200N,A321NEO
722,A320-200N,A320NEO
723,A220-100 BD-500-1A,A220-1
724,A220-300 BD-500-1A,A220-3
725,DASSAULT FALCON 8X,FALCON8X
730,DOUGLAS DC-10-10,DC-10-10
731,DOUGLAS DC-10-20,DC-10-20
732,DOUGLAS DC-10-30,DC-10-30
733,DOUGLAS DC-10-40,DC-10-40
735,DOUGLAS DC-10-30CF,DC10-30F
737,BOEING 737 MAX 7,MAX 7
740,MD-11,MD-11
745,EMBRAER-550,EMB-550
750,GULFSTREAM G650,G650
755,EMBRAER LEGACY 600,LEG-600
760,L-1011-1/100/200,L-1011
765,L-1011-500 TRISTAR,L-1011
770,FALCON 900,FA-900
771,FALCON 50,FA-50
774,DASSAULT FALCON ,DA 2000
775,DASSAULT FALCON 7X,FALCON7X
780,TUPOLEV 154,TU-154
788,GLOBAL 6000,GL6000
792,YAKOLEV 42,YAK-42
800,BOEING 707-100,B707-100
802,BOEING 707-100B,B707-1B
804,BOEING 707-200,B707-2
806,BOEING 707-300,B707-3
808,BOEING 707-300B,B707-3B
809,BOEING 707-300C,B707-3C
810,BOEING 707-400,B707-4
812,BOEING 720,B720-0
814,BOEING 720-B,B720-B
816,BOEING 747-100,B747-100
817,BOEING 747-200/300,B747-2/3
818,BOEING 747C,B747C
819,BOEING 747-400,B747-4
820,BOEING 747-4F,B747-4F
821,BOEING B747-8,B747-8
822,BOEING 747SP,B747SP
823,BOEING 747-200F,B747-2F
825,CONVAIR 880,CV-880
830,CONVAIR 990,CORONADO
833,EMB LEGACY 650,LEG-650
835,AVROLINER RJ85,AV RJ85
836,A350-1000,A35K
837,B787-10 DREAMLINER,B787-10
838,B737 MAX 800,MAX 8
839,B737 MAX 900,MAX 9
840,DOUGLAS DC-8-10,DC-8-10
842,DOUGLAS DC-8-20,DC-8-20
844,DOUGLAS DC-8-30,DC-8-30
846,DOUGLAS DC-8-40,DC-8-40
848,DOUGLAS DC-8-50,DC-8-50
850,DOUGLAS DC-8-50F,DC-8-50F
851,DOUGLAS DC-8-61,DC-8-61
852,DOUGLAS DC-8-63F,DC-8-63F
854,DOUGLAS DC-8-62,DC-8-62
856,DOUGLAS DC-8-63,DC-8-63
860,DOUGLAS DC-8-71,DC-8-71
862,DOUGLAS DC-8-72,DC-8-72
864,DOUGLAS DC-8-73,DC-8-73
865,DOUGLAS DC-8-73F,DC-8-73F
866,BAE-146-100/RJ70,BAE146-1
867,BAE-146-200,BAE146-2
868,BAE-146-300,BAE146-3
870,LOCKHEED JETSTAR,JETSTAR
871,A340-300,A340-3
872,A340-500,A340-5
873,A340-200,A340-2
874,A340-600,A340-6
875,CONCORDE,CONCORDE
876,ILYUSHIN 62,IL-62
877,ILYUSHIN 76/TD,IL-76/TD
878,ILYUSHIN 86,IL-86
879,ILYUSHIN 96,IL-96
880,ANTONOV 124,AN-124
881,IL-96-40T,IL-96-4T
882,A380-800,A380-8
887,B787-8 DREAMLINER,B787-8
888,B737-900ER,B737-9ER
889,B787-9 DREAMLINER,B787-9
890,ANTONOV 225,AN-225
